challenge,rulefile,interpretation,dimension,result_width,remove_any,solver_timeout,workers,tries,wall_timeout,status,return_code,elapsed_seconds,has_qed,has_sat,variables,clauses,sat_attempt,sat_seconds,log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,1,2,True,30,4,1,60,ERROR,1,0.167,False,False,94,328,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d1_rw2.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,1,3,True,30,4,1,60,ERROR,1,0.154,False,False,177,812,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d1_rw3.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,1,4,True,30,4,1,60,ERROR,1,0.142,False,False,260,1388,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d1_rw4.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,1,5,True,30,4,1,60,ERROR,1,0.145,False,False,343,2056,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d1_rw5.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,2,2,True,30,4,1,60,ERROR,1,0.151,False,False,513,2028,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d2_rw2.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,2,3,True,30,4,1,60,ERROR,1,0.158,False,False,1015,5183,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d2_rw3.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,2,4,True,30,4,1,60,ERROR,1,0.174,False,False,1517,8982,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d2_rw4.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,2,5,True,30,4,1,60,ERROR,1,0.185,False,False,2019,13425,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d2_rw5.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,3,2,True,30,4,1,60,ERROR,1,0.160,False,False,1544,6372,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d3_rw2.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,3,3,True,30,4,1,60,ERROR,1,0.194,False,False,3077,16328,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d3_rw3.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,3,4,True,30,4,1,60,ERROR,1,0.216,False,False,4610,28354,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d3_rw4.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,natural,3,5,True,30,4,1,60,ERROR,1,0.246,False,False,6143,42450,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_natural_d3_rw5.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,1,2,True,30,4,1,60,ERROR,1,0.136,False,False,41,99,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d1_rw2.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,1,3,True,30,4,1,60,ERROR,1,0.136,False,False,71,243,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d1_rw3.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,1,4,True,30,4,1,60,ERROR,1,0.138,False,False,101,433,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d1_rw4.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,1,5,True,30,4,1,60,ERROR,1,0.137,False,False,131,669,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d1_rw5.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,2,2,True,30,4,1,60,ERROR,1,0.142,False,False,315,924,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d2_rw2.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,2,3,True,30,4,1,60,ERROR,1,0.145,False,False,619,2328,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d2_rw3.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,2,4,True,30,4,1,60,ERROR,1,0.153,False,False,923,4100,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d2_rw4.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,2,5,True,30,4,1,60,ERROR,1,0.161,False,False,1227,6240,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d2_rw5.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,3,2,True,30,4,1,60,ERROR,1,0.149,False,False,1109,3311,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d3_rw2.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,3,3,True,30,4,1,60,ERROR,1,0.170,False,False,2207,8333,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d3_rw3.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,3,4,True,30,4,1,60,ERROR,1,0.189,False,False,3305,14597,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d3_rw4.log
m19_collatz_S1_without_ff_end_to_0_end.srs,m19_challenges/m19_collatz_S1_without_ff_end_to_0_end.srs,arctic,3,5,True,30,4,1,60,ERROR,1,0.196,False,False,4403,22103,,,/tmp/m19_challenge_search/logs/m19_collatz_S1_without_ff_end_to_0_end_arctic_d3_rw5.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,1,2,True,30,4,1,60,ERROR,1,0.134,False,False,97,340,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d1_rw2.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,1,3,True,30,4,1,60,ERROR,1,0.137,False,False,183,843,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d1_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,1,4,True,30,4,1,60,ERROR,1,0.139,False,False,269,1442,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d1_rw4.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,1,5,True,30,4,1,60,ERROR,1,0.141,False,False,355,2137,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d1_rw5.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,2,2,True,30,4,1,60,ERROR,1,0.142,False,False,533,2112,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d2_rw2.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,2,3,True,30,4,1,60,ERROR,1,0.155,False,False,1055,5399,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d2_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,2,4,True,30,4,1,60,ERROR,1,0.166,False,False,1577,9358,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d2_rw4.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,2,5,True,30,4,1,60,ERROR,1,0.178,False,False,2099,13989,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d2_rw5.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,3,2,True,30,4,1,60,ERROR,1,0.158,False,False,1607,6642,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d3_rw2.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,3,3,True,30,4,1,60,ERROR,1,0.184,False,False,3203,17021,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d3_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,3,4,True,30,4,1,60,ERROR,1,0.214,False,False,4799,29560,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d3_rw4.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,natural,3,5,True,30,4,1,60,ERROR,1,0.247,False,False,6395,44259,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_natural_d3_rw5.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,1,2,True,30,4,1,60,ERROR,1,0.136,False,False,42,102,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d1_rw2.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,1,3,True,30,4,1,60,ERROR,1,0.134,False,False,73,251,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d1_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,1,4,True,30,4,1,60,ERROR,1,0.135,False,False,104,448,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d1_rw4.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,1,5,True,30,4,1,60,ERROR,1,0.137,False,False,135,693,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d1_rw5.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,2,2,True,30,4,1,60,ERROR,1,0.140,False,False,327,960,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d2_rw2.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,2,3,True,30,4,1,60,ERROR,1,0.146,False,False,643,2420,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d2_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,2,4,True,30,4,1,60,ERROR,1,0.152,False,False,959,4264,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d2_rw4.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,2,5,True,30,4,1,60,ERROR,1,0.159,False,False,1275,6492,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d2_rw5.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,3,2,True,30,4,1,60,ERROR,1,0.147,False,False,1154,3446,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d3_rw2.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,3,3,True,30,4,1,60,ERROR,1,0.163,False,False,2297,8675,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d3_rw3.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,3,4,True,30,4,1,60,ERROR,1,0.180,False,False,3440,15200,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d3_rw4.log
m19_collatz_S2_without_tf_end_to_end.srs,m19_challenges/m19_collatz_S2_without_tf_end_to_end.srs,arctic,3,5,True,30,4,1,60,ERROR,1,0.197,False,False,4583,23021,,,/tmp/m19_challenge_search/logs/m19_collatz_S2_without_tf_end_to_end_arctic_d3_rw5.log
